Created Date,Stock Number,Year,Make,Model,Exterior Color,Odometer,GPS Provider
01/27/2026 04:22:38 PM,N822147,2020,NISSAN,370Z,BLACK,64474,
01/13/2026 12:27:33 PM,N394418,2022,RAM,2500 CREW CAB,WHITE,97118,VOLTSWITCH
07/06/2024 05:25:27 PM,N612655,2008,HUMMER,H1,,383,
02/03/2026 02:56:35 PM,N585600,2019,INFINITI,Q70,BLACK,89152,
01/07/2026 02:01:12 PM,N651185,2023,RAM,2500 CREW CAB,WHITE,64429,
12/26/2025 03:29:44 PM,T056065,2018,TOYOTA,TACOMA DOUBLE CAB,GRAY,134460,
09/18/2025 01:41:10 PM,N032293,2019,HONDA,RIDGELINE,WHITE,78272,VOLTSWITCH
02/10/2026 02:46:08 PM,N563612,2018,ALFA ROMEO,GIULIA,WHITE,29748,
11/24/2025 03:58:11 PM,R347612,2013,DODGE,DART,BLACK,132769,VOLTSWITCH
01/27/2026 11:59:55 AM,N587513,2022,MERCEDES-BENZ,GLE,BLUE,83186,
11/20/2025 01:41:31 PM,N623339,2019,DODGE,CHARGER,GRAY,74817,
02/05/2026 08:59:33 AM,N262145,2024,CHEVROLET,EQUINOX EV,WHITE,16154,
09/19/2024 03:06:41 PM,RRB16648,2020,FORD,TRANSIT 250 CARGO VAN,WHITE,81745,
01/29/2026 12:23:56 PM,T107726,2020,DODGE,CHARGER,BLACK,102401,
12/26/2025 04:30:38 PM,N132391,2019,CHEVROLET,CAMARO,GRAY,83506,
01/13/2026 07:50:31 PM,NZ66951,2019,BMW,X6,BLACK,77122,
02/03/2026 02:58:35 PM,N473597,2023,TESLA,MODEL 3,GRAY,22766,
09/06/2023 12:36:32 PM,N440622,2019,INFINITI,Q60,WHITE,70783,
12/22/2025 12:35:20 PM,N006277,2021,HONDA,ACCORD,BLACK,67474,
12/11/2025 01:17:46 PM,N130416,2024,FORD,MUSTANG,BLUE,48494,
12/24/2025 01:49:48 PM,N334692,2015,INFINITI,Q50,BLACK,123046,VOLTSWITCH
02/02/2026 03:11:39 PM,N708742,2020,MERCEDES-BENZ,GLC COUPE,WHITE,67106,
02/04/2026 02:51:28 PM,N304247,2022,HONDA,CIVIC,GRAY,91849,
01/13/2026 07:48:05 PM,N340490,2018,INFINITI,Q60,BLUE,50940,VOLTSWITCH
10/31/2023 04:14:42 PM,N127015,1964,FORD,FALCON WAGON,BLUE,4050,VOLTSWITCH
12/16/2025 04:46:01 PM,N317267,2020,CHEVROLET,SILVERADO 3500 HD CREW CAB,WHITE,72033,
02/07/2026 02:45:46 PM,T250866,2015,GMC,CANYON CREW CAB,BLACK,118350,
11/18/2025 01:29:33 PM,R325080,2015,FORD,MUSTANG,YELLOW,95518,VOLTSWITCH
11/18/2025 10:28:06 AM,N039379,2024,TOYOTA,TACOMA DOUBLE CAB,WHITE,29900,VOLTSWITCH
01/08/2026 03:11:13 PM,N026936,2023,HONDA,ACCORD,RED,62278,
10/26/2025 11:09:59 AM,N163096,2019,CHEVROLET,SILVERADO 1500 CREW CAB,WHITE,114418,
02/11/2026 10:34:06 PM,N636764,2019,MERCEDES-BENZ,E-CLASS,BLACK,48335,
06/25/2025 04:28:33 PM,NT523852,2020,INFINITI,QX60,BLUE,71191,VOLTSWITCH
01/13/2026 12:01:01 PM,N706107,2021,INFINITI,Q50,WHITE,34993,
09/18/2025 01:31:12 PM,ND92276,2019,FORD,F350 SUPER DUTY CREW CAB,GRAY,206642,VOLTSWITCH
01/30/2026 01:12:42 PM,N046338,2024,ALFA ROMEO,TONALE,BLACK,15871,
01/27/2026 03:34:44 PM,RN015205,2023,HONDA,ACCORD,GRAY,48557,VOLTSWITCH
09/05/2025 11:09:25 AM,N234501,2021,VOLKSWAGEN,ATLAS CROSS SPORT,WHITE,91902,VOLTSWITCH
01/19/2026 08:35:32 PM,N383534,2023,TESLA,MODEL 3,RED,15721,
02/10/2026 02:43:56 PM,N014357,2022,MERCEDES-BENZ,C-CLASS,SILVER,52580,
11/13/2025 12:14:22 PM,N568488,2020,LAND ROVER,RANGE ROVER,GRAY,69063,VOLTSWITCH
12/09/2025 01:47:23 PM,R171310,2013,DODGE,DART,ORANGE,139300,VOLTSWITCH
01/29/2026 02:01:14 PM,N311715,2022,INFINITI,Q50,RED,58535,
01/08/2026 01:25:09 PM,N160414,2022,CHEVROLET,EQUINOX,WHITE,83578,
01/22/2026 09:21:16 AM,N540701,2023,INFINITI,Q50,BLACK,60424,
02/05/2026 08:58:29 AM,N807551,2020,TESLA,MODEL 3,WHITE,28985,
